操作,代碼,名稱,持有數量,市值,平均成本價,總盈虧金額,未實現盈虧比例,未實現盈虧,已實現盈虧,持倉佔比,幣種,市場
交易,2513,智譜,"800@1,028.000","822,400.00",226.40,"707,800.00",354.06%,"641,280.00","66,520.00",5.21%,港元,港股
交易,883,中國海洋石油,"10,000@27.660","276,600.00",11.12,"376,180.00",148.74%,"165,396.96","210,783.03",1.75%,港元,港股
交易,1088,中國神華,"8,000@47.420","379,360.00",30.225,"212,507.76",56.89%,"137,560.00","74,947.76",2.40%,港元,港股
交易,938,紫光股份,"4,000@31.20","124,800.00",25.25,"23,800.00",23.56%,"23,800.00",0.00,0.91%,人民幣,A股
交易,1276,恒瑞醫藥,"2,000@68.700","137,400.00",83.65,"-29,900.00",-17.87%,"-29,900.00",0.00,0.87%,港元,港股
交易,941,中國移動,"5,000@84.000","420,000.00",65.267,"209,950.00",28.70%,"93,662.50","116,287.50",2.66%,港元,港股
交易,3750,寧德時代,600@702.500,"421,500.00",297.533,"243,576.16",136.11%,"242,980.00",596.16,2.67%,港元,港股
交易,1093,石藥集團,"8,000@8.920","71,360.00",7.815,"9,960.00",14.14%,"8,840.00","1,120.00",0.45%,港元,港股
交易,2367,巨子生物,"2,400@32.120","77,088.00",73.179,"-95,407.84",-56.11%,"-98,542.00","3,134.16",0.49%,港元,港股
交易,3690,美團-W,10@83.100,831.00,170.98,"-38,024.00",-51.40%,-878.80,"-37,145.19",0.01%,港元,港股
交易,20,商湯-W,"50,000@2.000","100,000.00",1.455,"54,950.00",37.46%,"27,225.00","27,725.00",0.63%,港元,港股
交易,9698,萬國數據-SW,"7,000@42.720","299,040.00",35.197,"52,664.00",21.37%,"52,664.00",0.00,1.89%,港元,港股
交易,1810,小米集團-W,"2,000@31.180","62,360.00",55.00,"-47,640.00",-43.31%,"-47,640.00",0.00,0.40%,港元,港股
交易,9888,百度集團-SW,"2,500@120.500","301,250.00",86.093,"121,925.00",39.96%,"86,017.85","35,907.14",1.91%,港元,港股
交易,268,金蝶國際,"19,000@8.900","169,100.00",15.093,"-117,670.00",-41.03%,"-117,670.00",0.00,1.07%,港元,港股
交易,1024,快手-W,"2,000@44.140","88,280.00",74.55,"-59,900.00",-40.79%,"-60,820.00",920.00,0.56%,港元,港股
交易,6185,康希諾生物,"2,000@32.580","65,160.00",34.90,"-4,640.00",-6.65%,"-4,640.00",0.00,0.41%,港元,港股
交易,3081,價值黃金ETF,"13,000@22.280","289,640.00",15.839,"101,538.00",40.67%,"83,735.60","17,802.40",1.84%,港元,港股
交易,6160,百濟神州,"1,000@183.700","183,700.00",160.80,"22,900.00",14.24%,"22,900.00",0.00,1.16%,港元,港股
交易,9688,再鼎醫藥,"2,000@17.220","34,440.00",28.40,"-22,360.00",-39.37%,"-22,360.00",0.00,0.22%,港元,港股
交易,2230,科大訊飛,"5,500@48.89","268,895.00",51.58,"-14,821.00",-5.22%,"-14,821.00",0.00,1.95%,人民幣,A股
交易,9988,阿里巴巴-W,"3,200@130.400","417,280.00",138.433,"4,160.00",-5.80%,"-25,706.66","29,866.66",2.64%,港元,港股
交易,3191,GlobalX 中國半導體,"3,100@66.640","206,584.00",56.931,"30,098.00",17.05%,"30,098.00",0.00,1.31%,港元,港股
交易,388,香港交易所,"1,100@412.200","453,420.00",352.073,"79,912.00",17.08%,"66,140.00","13,772.00",2.87%,港元,港股
交易,2824,易方達黃金礦業ETF,"14,000@11.730","164,220.00",15.00,"-45,780.00",-21.80%,"-45,780.00",0.00,1.04%,港元,港股
交易,358,江西銅業股份,"5,000@37.120","185,600.00",14.54,"114,872.08",155.30%,"112,900.00","1,972.08",1.18%,港元,港股
交易,981,中芯國際,"7,500@58.450","438,375.00",28.319,"225,985.00",106.40%,"225,985.00",0.00,2.78%,港元,港股
交易,9868,小鵬集團-W,"1,700@62.100","105,570.00",53.061,"40,805.00",17.04%,"15,366.11","25,438.88",0.67%,港元,港股
交易,1801,信達生物,"2,000@83.000","166,000.00",88.675,"-11,350.00",-6.40%,"-11,350.00",0.00,1.05%,港元,港股
交易,700,騰訊控股,"1,200@495.200","594,240.00",370.133,"150,080.00",33.79%,"150,080.00",0.00,3.76%,港元,港股
交易,2269,藥明生物,"12,500@33.920","424,000.00",24.032,"123,600.00",41.15%,"123,600.00",0.00,2.69%,港元,港股
交易,2259,紫金黃金國際,"1,500@160.100","240,150.00",111.50,"72,900.00",43.59%,"72,900.00",0.00,1.52%,港元,港股
交易,1211,比亞迪股份,"6,000@103.500","621,000.00",85.011,"166,700.00",21.75%,"110,933.33","55,766.66",3.93%,港元,港股
交易,2899,紫金礦業,"30,000@36.900","1,107,000.00",12.25,"985,844.05",201.22%,"739,500.00","246,344.05",7.01%,港元,港股
交易,1347,華虹半導體,"5,000@93.850","469,250.00",82.00,"59,250.00",14.45%,"59,250.00",0.00,2.97%,港元,港股
交易,9926,康方生物,"2,000@130.400","260,800.00",73.225,"282,500.00",78.08%,"114,350.00","168,150.00",1.65%,港元,港股
交易,100,MINIMAX-W,"1,120@858.500","961,520.00",482.775,"572,998.00",77.83%,"420,812.11","152,185.88",6.09%,港元,港股
